# cc_reference.draft.csv — BROUILLON généré le 2026-07-10 par `python -m trio_lab.ccref`.,,,,,,,,,,
Nunu,R,slow,1.5,72.5,multi,point_click,ultimate,0,"durée variable ({{pp|type=channel time|0 to 3 for 13|0 to 3}}), moyenne retenue ; %slow variable ({{pp|type=channel time|key=%|0;50 to 95 for 11;95|0 to 3|formula=Increases by 4.5% every 0.25 seconds. ''Starts at 0.25 seconds and finishes at 2.75 seconds''}}), moyenne retenue",
Nunu,W,airborne,0.625,,multi,skillshot,base,0,"durée variable ({{pp|type=charge time|0.5;0.5 to 0.75 for 5|0 to 5|formula=Increases linearly after 1 second into the duration.}}), moyenne retenue",
Nunu,W,slow,,,multi,skillshot,base,0,%slow introuvable,Le sort n'applique pas de slow
Nunu,W,stun,0.25,,multi,skillshot,base,0,"durée variable ({{pp|type=charge time|0;0;0;0 to 0.5 for 9|0;1;2 to 5|formula=Increases per game tick after 2.33 seconds.}}), moyenne retenue ; complété via wiki Fandom (contenu possiblement daté)",
Olaf,Q,slow,2.0,40.0,mono,skillshot,base,0,"durée variable ({{pp|type=distance traveled|1 to 3 for 9|400 to 1000|formula=1+(0.25 per 75 units traveled)}}), moyenne retenue ; %slow depuis leveling « Slow », moyenne retenue",
Orianna,R,airborne,0.5,,multi,point_click,ultimate,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Orianna,R,stun,0.75,,multi,point_click,ultimate,0,,
Orianna,W,slow,2.0,30.0,multi,point_click,base,0,"%slow depuis leveling « Movement Speed Modifier », moyenne retenue",
Ornn,E,airborne,1.25,,multi,skillshot,base,0,,Conditionnel car il faut toucher un mur
Ornn,E,stun,1.25,,multi,skillshot,base,0,,
Ornn,P,airborne,0.5,,multi,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,Conditionnel car il faut que cible est l'état brittle
Ornn,Q,airborne,4.0,,multi,skillshot,base,1,,L'élément crée dure 4s mais il airbone quasiment pas
Ornn,Q,slow,2.0,40.0,multi,skillshot,base,0,,
Ornn,R,airborne,1.0,,mono,skillshot,ultimate,0,,
Ornn,R,slow,2.0,50.0,mono,skillshot,ultimate,0,"%slow depuis leveling « Slow », moyenne retenue",
Ornn,R,stun,1.0,,mono,skillshot,ultimate,0,,
Ornn,W,slow,,,multi,skillshot,base,0,mot-clé slow introuvable dans la description ; %slow introuvable,Le W en lui même ne slow pas mais applique l'état brittle
Pantheon,Q,slow,,,mono,skillshot,base,0,"slow appliqué au lanceur (self), pas un CC ennemi — à exclure ?",Se slow lui même
Pantheon,R,slow,2.0,50.0,multi,skillshot,ultimate,0,,
Pantheon,W,stun,1.0,,mono,point_click,base,0,,
Poppy,E,airborne,0.5,,mono,point_click,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Poppy,E,stun,1.8,,mono,point_click,base,0,"durée depuis leveling « Stun Duration », moyenne retenue",Conditionnel
Poppy,Q,slow,,30.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",Zone de slow
Poppy,R,airborne,0.5,,multi,skillshot,ultimate,1,,
Poppy,R,slow,,,mono,skillshot,ultimate,0,"slow appliqué au lanceur (self), pas un CC ennemi — à exclure ?",Se slow elle même
Poppy,W,airborne,0.5,,multi,point_click,base,0,,
Poppy,W,ground,2.0,,multi,point_click,base,0,,
Poppy,W,slow,2.0,25.0,multi,point_click,base,0,,
Pyke,E,stun,,,multi,skillshot,base,0,durée introuvable,Voici la formule = 1.25 (+ 0.1 per 10 Lethality)
Pyke,Q,airborne,1.0,,mono,skillshot,base,1,,
Pyke,Q,slow,1.0,90.0,mono,skillshot,base,0,,
Qiyana,Q,root,0.5,,multi,skillshot,base,0,,
Qiyana,Q,slow,1.0,20.0,multi,skillshot,base,0,,
Qiyana,R,airborne,0.5,,multi,skillshot,ultimate,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Qiyana,R,stun,0.75,,multi,skillshot,ultimate,0,"durée variable ({{pp|changedisplay=true|type=proximity|0.5;1|0;X}}), moyenne retenue",
Quinn,E,airborne,0.5,,mono,point_click,base,1,,
Quinn,E,slow,1.5,50.0,mono,point_click,base,0,,
Quinn,R,slow,,100.0,mono,point_click,ultimate,0,"mot-clé slow introuvable dans la description ; %slow depuis leveling « Total Movement Speed Increase », moyenne retenue",Se slow elle même pendant le l'incantation du sort
Rakan,R,charm,1.25,,mono,point_click,ultimate,0,"durée depuis leveling « Disable Duration », moyenne retenue",
Rakan,R,slow,1.25,75.0,mono,point_click,ultimate,0,"durée depuis leveling « Disable Duration », moyenne retenue",
Rakan,W,airborne,1.0,,multi,skillshot,base,0,,
Rammus,E,taunt,1.6,,mono,point_click,base,0,"durée depuis leveling « Taunt Duration », moyenne retenue",
Rammus,Q,airborne,0.5,,multi,point_click,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Rammus,Q,slow,1.0,60.0,multi,point_click,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Rammus,Q,stun,1.0,,multi,point_click,base,0,,
Rammus,R,airborne,0.75,,multi,skillshot,ultimate,0,,
Rammus,R,slow,1.5,40.0,multi,skillshot,ultimate,0,"%slow depuis leveling « Slow », moyenne retenue",
Rek'Sai,W,airborne,1.0,,multi,point_click,base,0,,
Rell,E,stun,,,mono,point_click,base,0,mot-clé stun introuvable dans la description ; durée introuvable,Je ne vois pas de stun sur le fandom
Rell,Q,stun,0.65,,multi,skillshot,base,0,,
Rell,R,airborne,0.5,,multi,point_click,ultimate,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,Il y a aussi une attirance vers Rell qui dure 2s
Rell,W,airborne,0.4,,multi,skillshot,base,0,,
Rell,W,airborne,0.4,,mono,point_click,base,1,,
Rell,W,stun,0.8,,multi,skillshot,base,0,,
Rell,W,stun,0.6,,mono,point_click,base,0,,
Renata Glasc,E,slow,2.0,30.0,multi,skillshot,base,0,,
Renata Glasc,Q,airborne,0.5,,mono,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Renata Glasc,Q,root,1.0,,mono,skillshot,base,0,,
Renata Glasc,Q,slow,,,mono,skillshot,base,0,mot-clé slow introuvable dans la description ; %slow introuvable,Se slow ele même
Renata Glasc,Q,stun,0.5,,mono,skillshot,base,0,,Le stun est conditionnel
Renekton,W,stun,0.75,,mono,point_click,base,0,,
Rengar,E,root,,,mono,skillshot,base,0,durée introuvable,"Root de 1,75s"
Rengar,E,slow,1.75,60.0,mono,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Riven,Q,airborne,0.5,,multi,point_click,base,1,,
Riven,W,stun,0.75,,multi,point_click,base,0,,
Rumble,E,slow,2.0,3.0,mono,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Rumble,R,slow,,35.0,multi,skillshot,ultimate,0,,Zone de slow
Ryze,R,root,,,mono,skillshot,ultimate,0,durée introuvable,Se root lui même
Ryze,R,silence,,,mono,skillshot,ultimate,0,durée introuvable,Se silence lui même
Ryze,W,root,,,mono,point_click,base,0,durée introuvable,"Root conditionnel de 1,5s"
Ryze,W,slow,1.5,50.0,mono,point_click,base,0,,
Samira,P,airborne,0.5,,mono,skillshot,base,0,,
Samira,R,slow,,,multi,skillshot,ultimate,0,mot-clé slow introuvable dans la description ; %slow introuvable,Se slow elle même
Sejuani,E,airborne,0.5,,multi,point_click,base,1,mot-clé airborne introuvable dans la description ; défaut appliqué : knockback/pull 0.5 s — à vérifier,
Sejuani,E,stun,1.0,,multi,point_click,base,0,,
Sejuani,Q,airborne,0.5,,mono,skillshot,base,0,,
Sejuani,R,slow,1.0,30.0,multi,skillshot,ultimate,0,,
Sejuani,R,stun,1.0,,multi,skillshot,ultimate,0,,
Sejuani,W,slow,0.25,75.0,multi,skillshot,base,0,,
Senna,Q,slow,1.5,15.0,multi,point_click,base,0,"durée depuis leveling « Slow Duration », moyenne retenue",
Senna,W,root,1.75,,mono,skillshot,base,0,"durée depuis leveling « Root Duration », moyenne retenue",
Seraphine,E,root,1.3,,multi,skillshot,base,0,"durée depuis leveling « Disable Duration », moyenne retenue",Le E de Séraphine root si la personne est déjà slow et stun si la personne et déjà root
Seraphine,E,slow,1.3,99.0,multi,skillshot,base,0,"durée depuis leveling « Disable Duration », moyenne retenue",
Seraphine,E,stun,1.3,,multi,skillshot,base,0,"durée depuis leveling « Disable Duration », moyenne retenue",
Seraphine,R,charm,1.5,,multi,skillshot,ultimate,0,"durée depuis leveling « Disable Duration », moyenne retenue",
Seraphine,R,slow,1.5,40.0,multi,skillshot,ultimate,0,"durée depuis leveling « Disable Duration », moyenne retenue",
Sett,E,airborne,0.5,,multi,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Sett,E,slow,0.5,70.0,multi,skillshot,base,0,,
Sett,E,stun,1.0,,multi,skillshot,base,0,,Stun conditionnel
Sett,R,slow,1.0,99.0,multi,point_click,ultimate,0,,
Sett,R,suppression,1.25,,multi,point_click,ultimate,0,défaut appliqué : suppression liée à un déplacement 1.25 s — à vérifier,
Shaco,E,slow,2.0,25.0,mono,point_click,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Shaco,R,fear,1.0,,multi,skillshot,ultimate,0,,
Shaco,R,root,0.5,,multi,skillshot,ultimate,0,,
Shaco,R,slow,,,multi,skillshot,ultimate,0,mot-clé slow introuvable dans la description ; %slow introuvable,Passe la move speed des champions touchés à 100
Shaco,W,fear,1.0,,multi,skillshot,base,0,"durée extraite 5.0 s invraisemblable (> 4.0 s), écartée — à vérifier ; durée depuis leveling « Fear Duration », moyenne retenue ; complété via wiki Fandom (contenu possiblement daté)","The box will spring out upon enemy contact, Flee icon fearing nearby enemies for a duration, modified to 2.2 seconds against non-champions, and Root icon rooting them for a duration, modified to a 1 second root against non-champions. After a 0.15-second delay of the box's activation, enemies hit also have their Attack speed icon movement speed reduced. Enemy champions have their movement speed set to a static 100 for the same duration as the fear plus 0.25 seconds, while non-champions are set to a static 60 for 2.35 seconds."
Shaco,W,root,0.9,,multi,skillshot,base,0,"durée depuis leveling « Root Duration », moyenne retenue",
Shaco,W,slow,0.9,,multi,skillshot,base,0,"mot-clé slow introuvable dans la description ; durée depuis leveling « Slow Duration », moyenne retenue ; %slow introuvable",Fear Duration:
Shen,E,taunt,1.5,,mono,skillshot,base,0,,0.5 / 0.75 / 1 / 1.25 / 1.5 seconds
Shen,Q,slow,,35.0,multi,point_click,base,0,"%slow depuis leveling « Slow », moyenne retenue",Slow de 2s
Shyvana,E,slow,2.0,30.0,multi,skillshot,base,0,,0.5 / 0.75 / 1 / 1 / 1 seconds
Shyvana,R,fear,0.75,,multi,skillshot,ultimate,0,,Slow Duration:
Singed,E,airborne,0.5,,mono,point_click,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,0.75 / 1 / 1.25 / 1.5 / 1.75 seconds
Singed,E,root,1.5,,mono,point_click,base,0,"durée depuis leveling « Root Duration », moyenne retenue",
Singed,W,ground,,,multi,skillshot,base,0,durée introuvable,Conditionnel
Singed,W,slow,,60.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",Zone de slow
Sion,E,slow,2.5,50.0,mono,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Sion,Q,airborne,0.75,,multi,skillshot,base,0,défaut appliqué : knock-up 0.75 s — à vérifier,
Sion,Q,slow,0.25,50.0,multi,skillshot,base,0,,
Sion,Q,stun,,,multi,skillshot,base,0,durée introuvable,"Stun de 1,25s à 2,25s selon le temps de charge"
Sion,R,airborne,0.5,,multi,skillshot,ultimate,1,,
Sion,R,slow,3.0,45.0,multi,skillshot,ultimate,0,"%slow depuis leveling « Slow », moyenne retenue",
Sion,R,stun,0.5,,multi,skillshot,ultimate,0,,
Skarner,E,stun,1.1,,mono,skillshot,base,0,,
Skarner,E,suppression,1.25,,mono,skillshot,base,0,défaut appliqué : suppression liée à un déplacement 1.25 s — à vérifier,
Skarner,Q,slow,1.0,40.0,mono,point_click,base,0,,
Skarner,Q,slow,1.25,40.0,mono,skillshot,base,0,complété via wiki Fandom (contenu possiblement daté),
Skarner,R,suppression,1.5,,multi,skillshot,ultimate,0,,
Skarner,W,slow,1.0,20.0,multi,point_click,base,0,,
Smolder,R,slow,,,mono,skillshot,ultimate,0,"slow appliqué au lanceur (self), pas un CC ennemi — à exclure ?",Slow de 40% pendant de 2s
Smolder,W,slow,1.5,35.0,multi,skillshot,base,0,,
Sona,P,slow,2.0,50.0,mono,skillshot,base,0,,
Sona,R,stun,1.5,,multi,skillshot,ultimate,0,,
Soraka,E,root,1.5,,multi,skillshot,base,0,"durée depuis leveling « Root Duration », moyenne retenue",
Soraka,E,silence,,,multi,skillshot,base,0,durée introuvable,Zone de silence
Soraka,Q,slow,1.5,30.0,multi,skillshot,base,0,,
Swain,E,airborne,0.5,,multi,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,L'airbone a lieu uniquement à la réactivation du sort
Swain,E,airborne,0.5,,multi,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Swain,E,root,1.5,,multi,skillshot,base,0,,
Swain,R,slow,1.5,50.0,multi,point_click,ultimate,0,,
Swain,W,slow,1.5,50.0,multi,skillshot,base,0,,
Sylas,E,airborne,0.5,,mono,skillshot,base,0,,
Sylas,E,stun,0.5,,mono,skillshot,base,0,,
Sylas,Q,slow,1.5,25.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Syndra,E,airborne,1.25,,multi,skillshot,base,1,,
Syndra,E,slow,1.25,70.0,multi,skillshot,base,0,,
Syndra,E,stun,1.25,,multi,skillshot,base,0,,
Syndra,W,slow,1.5,25.0,multi,skillshot,base,0,,
Tahm Kench,Q,slow,2.0,50.0,mono,skillshot,base,0,,
Tahm Kench,Q,stun,1.5,,mono,skillshot,base,0,,
Tahm Kench,R,airborne,0.5,,mono,skillshot,ultimate,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Tahm Kench,R,ground,,,mono,point_click,ultimate,0,durée introuvable,Il est lui même grounded
Tahm Kench,R,slow,,40.0,mono,point_click,ultimate,0,,Il est lui même slow
Tahm Kench,R,suppression,1.25,,mono,point_click,ultimate,0,défaut appliqué : suppression liée à un déplacement 1.25 s — à vérifier,
Tahm Kench,W,airborne,1.0,,multi,skillshot,base,0,,
Tahm Kench,W,stun,1.0,,multi,skillshot,base,0,,
Taliyah,E,slow,,20.0,multi,skillshot,base,0,,Zone de slow
Taliyah,E,stun,,,multi,skillshot,base,0,durée introuvable,"Stun conditionnel de 0,75s"
Taliyah,Q,slow,1.5,30.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Taliyah,Q,stun,3.0,,multi,skillshot,base,0,,
Taliyah,R,airborne,4.0,,mono,skillshot,ultimate,1,,"Le airbone est dû à la création de terrain mais il ne dure pas 4s il est de 0,5s"
Taliyah,W,airborne,1.0,,multi,skillshot,base,1,,
Talon,W,slow,1.0,50.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",ça ne slow pas
Taric,E,stun,1.5,,multi,skillshot,base,0,,
Teemo,Q,blind,2.5,,mono,point_click,base,0,"durée depuis leveling « Blind Duration », moyenne retenue",
Teemo,R,slow,4.0,40.0,multi,skillshot,ultimate,0,"%slow depuis leveling « Slow », moyenne retenue",
Thresh,E,airborne,1.0,,multi,skillshot,base,1,,
Thresh,E,slow,1.0,30.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Thresh,Q,airborne,0.5,,mono,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,"Active: Thresh throws out his scythe in the target direction, becoming Lockout icon 2 unable to move or attack while it is in flight. The scythe catches the first enemy hit to deal magic damage and Stun icon stun and True Sight icon reveal them for 1.5 seconds, as well as reduce Death Sentence's Cooldown icon current cooldown by 2 seconds. Thresh will also mark the target Shackled for 1.5 seconds, during which he is unable to declare basic attacks, and is Slow icon slowed by 20% for 1 second. Magic Damage: 100 / 150 / 200 / 250 / 300 (+ 90% AP) While the target is Stun icon stunned, Thresh tugs twice over 0.8 seconds, Airborne icon pulling the target a short distance with each tug. After 0.5 seconds of hitting an enemy or instantly after hitting a Minion icon minion or Monster icon monster, Thresh can recast the ability while the target is Shackled, which will cause him to stop tugging."
Thresh,Q,slow,1.0,20.0,mono,skillshot,base,0,,
Thresh,R,slow,2.0,99.0,mono,point_click,ultimate,0,,
Tristana,R,airborne,0.5,,mono,point_click,ultimate,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Tristana,R,stun,0.55,,mono,point_click,ultimate,0,"durée depuis leveling « Stun Duration », moyenne retenue",
Tristana,W,slow,2.0,40.0,multi,skillshot,base,0,,
Trundle,E,airborne,0.25,,multi,skillshot,base,1,défaut appliqué : knock-up très court (mur/pilier) 0.25 s — à vérifier,
Trundle,E,slow,,42.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Trundle,Q,slow,0.1,75.0,mono,point_click,base,0,,
Tryndamere,W,slow,,40.0,mono,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",Slow conditionnel de 4s
Twisted Fate,W,slow,2.5,40.0,mono,point_click,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Twisted Fate,W,stun,1.5,,mono,point_click,base,0,"durée depuis leveling « Stun Duration », moyenne retenue",
Twitch,W,slow,,40.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",Zone de slow
Udyr,E,stun,0.75,,mono,point_click,base,0,,
Udyr,R,slow,,22.5,multi,point_click,ultimate,0,"%slow depuis leveling « Slow », moyenne retenue",Zone de slow
Urgot,E,airborne,1.0,,mono,skillshot,base,1,,
Urgot,E,stun,1.0,,mono,skillshot,base,0,,
Urgot,Q,slow,1.25,55.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Urgot,R,fear,1.5,,multi,skillshot,ultimate,0,,
Urgot,R,slow,,75.0,multi,skillshot,ultimate,0,,Slow de 4s quand l'ennemi est touché le % va de 0 à 75% selon les PV manquants de la cible
Urgot,R,slow,,75.0,multi,skillshot,ultimate,0,,"Si la cible est exécuté Urgot slow autour de lui à 75% pendant 1,5s"
Urgot,R,suppression,1.25,,multi,skillshot,ultimate,0,défaut appliqué : suppression liée à un déplacement 1.25 s — à vérifier,
Urgot,W,slow,,125.0,mono,point_click,base,0,,Se slow lui même
Varus,E,slow,,40.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",Zone de slow
Varus,Q,slow,,,mono,skillshot,base,0,"slow appliqué au lanceur (self), pas un CC ennemi — à exclure ?",Se slow lui même
Varus,R,root,2.0,,mono,skillshot,ultimate,0,,
Vayne,E,airborne,0.5,,mono,point_click,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Vayne,E,stun,1.5,,mono,point_click,base,0,,
Veigar,E,stun,2.0,,mono,skillshot,base,0,"durée depuis leveling « Stun Duration », moyenne retenue",
Vel'Koz,E,airborne,0.75,,multi,skillshot,base,1,,
Vel'Koz,E,stun,0.75,,multi,skillshot,base,0,,
Vel'Koz,Q,slow,1.8,70.0,multi,skillshot,base,0,"durée depuis leveling « Slow Duration », moyenne retenue",
Vel'Koz,R,slow,1.0,20.0,multi,skillshot,ultimate,0,,
Vex,E,slow,2.0,40.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Vex,P,fear,1.125,,multi,skillshot,base,0,"durée variable ({{pp|0.75 to 1.5 for 4|1;6;9;13}}), moyenne retenue",
Vex,P,slow,,79.5,multi,skillshot,base,0,"%slow variable ({{pp|type=distance from '''Vex'''|60 to 99 for 11|250 to 800|key=%|formula=60% + 3.9% for every 55 units away from Vex}}), moyenne retenue","Slow de 1,125"
Vi,Q,airborne,0.75,,multi,skillshot,base,1,,
Vi,Q,slow,,,mono,skillshot,base,0,"slow appliqué au lanceur (self), pas un CC ennemi — à exclure ?",Se slow elle même
Vi,R,airborne,1.3,,mono,point_click,ultimate,1,,
Vi,R,stun,0.75,,mono,point_click,ultimate,0,,
Viego,R,airborne,0.5,,multi,skillshot,ultimate,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Viego,R,slow,0.25,99.0,multi,skillshot,ultimate,0,,
Viego,W,slow,,,mono,skillshot,base,0,"slow appliqué au lanceur (self), pas un CC ennemi — à exclure ?",Se slow lui même
Viego,W,stun,0.75,,mono,skillshot,base,0,"durée variable ({{pp|type=channel time|0.25 to 1.25 for 5|0 to 1|formula=0.25 + (0.25 per 0.25 seconds channeled).|changedisplay = true}}), moyenne retenue",
Viktor,W,slow,1.0,20.0,multi,skillshot,base,0,,
Viktor,W,stun,1.5,,multi,skillshot,base,0,,
Vladimir,E,slow,0.5,20.0,multi,point_click,base,0,,
Vladimir,W,slow,,40.0,multi,point_click,base,0,,Zone de slow autour de lui
Volibear,E,slow,2.0,40.0,multi,skillshot,base,0,,
Volibear,Q,stun,1.0,,mono,point_click,base,0,,
Volibear,R,slow,1.0,50.0,multi,skillshot,ultimate,0,,
Warwick,E,fear,1.0,,multi,point_click,base,0,,
Warwick,E,slow,,90.0,multi,point_click,base,0,,Slow de 1s
Warwick,R,suppression,1.25,,mono,skillshot,ultimate,0,défaut appliqué : suppression liée à un déplacement 1.25 s — à vérifier,
Wukong,R,airborne,0.6,,multi,point_click,ultimate,0,,
Xayah,E,root,1.25,,multi,point_click,base,0,,
Xerath,E,stun,,,mono,skillshot,base,0,durée introuvable,"0,75s à 2,25s en fonction de la distance parcourue"
Xerath,Q,slow,,,mono,skillshot,base,0,"slow appliqué au lanceur (self), pas un CC ennemi — à exclure ?",Se slow lui même
Xerath,W,slow,2.5,25.0,multi,skillshot,base,0,,
Xin Zhao,E,slow,0.5,30.0,multi,point_click,base,0,,
Xin Zhao,Q,airborne,0.75,,mono,point_click,base,0,,
Xin Zhao,R,airborne,0.75,,multi,point_click,ultimate,1,,
Xin Zhao,R,stun,,,multi,point_click,ultimate,0,durée introuvable,"0,75s"
Xin Zhao,W,slow,1.5,50.0,multi,skillshot,base,0,complété via wiki Fandom (contenu possiblement daté),
Yasuo,Q,airborne,0.9,,multi,skillshot,base,0,,
Yasuo,R,airborne,1.0,,mono,point_click,ultimate,0,,
Yone,Q,airborne,0.75,,multi,skillshot,base,0,,
Yone,R,airborne,1.0,,multi,skillshot,ultimate,1,,
Yone,R,stun,1.0,,multi,skillshot,ultimate,0,,
Yorick,E,slow,1.5,30.0,multi,skillshot,base,0,,
Yorick,W,airborne,0.25,,multi,skillshot,base,1,,
Yunara,W,slow,1.5,99.0,multi,skillshot,base,0,,
Yunara,W,slow,1.0,99.0,multi,skillshot,base,0,,
Yuumi,Q,slow,1.0,20.0,mono,skillshot,base,0,,
Yuumi,R,slow,1.25,10.0,multi,skillshot,ultimate,0,,J'ai pas d'infos sur le fandom
Zaahen,Q,airborne,0.75,,mono,point_click,base,0,,
Zaahen,W,airborne,0.5,,multi,skillshot,base,1,défaut appliqué : knockback/pull 0.5 s — à vérifier,
Zaahen,W,stun,0.25,,multi,skillshot,base,0,,
Zac,E,airborne,0.5,,multi,skillshot,base,0,,
Zac,E,stun,0.5,,multi,skillshot,base,0,,
Zac,Q,airborne,0.25,,multi,skillshot,base,1,,
Zac,Q,root,,,multi,skillshot,base,0,durée introuvable,"Root de 0,5s juste avant le déplacement des deux cibles"
Zac,Q,slow,0.5,40.0,multi,skillshot,base,0,,
Zac,Q,stun,0.25,,multi,skillshot,base,0,,
Zac,R,airborne,1.0,,multi,point_click,ultimate,1,,
Zac,R,slow,,20.0,multi,point_click,ultimate,0,,Slow de 1s
Zed,E,slow,1.5,50.0,multi,point_click,base,0,,
Zeri,W,slow,2.0,40.0,multi,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Ziggs,E,slow,1.5,30.0,mono,skillshot,base,0,"%slow depuis leveling « Slow », moyenne retenue",
Ziggs,W,airborne,0.5,,multi,skillshot,base,1,,
Zilean,E,slow,,74.667,mono,point_click,base,0,"%slow depuis leveling « Movement Speed Modifier », moyenne retenue","Slow pendant 2,5s"
Zilean,Q,stun,1.3,,multi,skillshot,base,0,"durée depuis leveling « Stun Duration », moyenne retenue",
Zoe,E,sleep,1.4,,mono,skillshot,base,0,,
Zoe,E,slow,2.25,20.0,mono,skillshot,base,0,"%slow depuis leveling « Maximum Slow », moyenne retenue",
Zyra,E,root,,,multi,skillshot,base,0,"durée extraite 8.0 s invraisemblable (> 4.0 s), écartée — à vérifier ; durée introuvable",Root de 1s à 2s selon le niveau du sort
Zyra,R,airborne,1.0,,multi,skillshot,ultimate,0,,